№,File,Channel,Credibility,Recency,Subquestion
S01,S01_mcp-registry-preview.md,official-docs,5,4,"[ST1]"
S02,S02_best-mcp-registries-truefoundry.md,industry-media,4,5,"[ST1]"
S03,S03_mcp-registries-listing-roxyapi.md,industry-media,4,5,"[ST1]"
S04,S04_mcp-distribution-speakeasy.md,industry-media,4,4,"[ST1]"
S05,S05_mcpb-format-anthropic.md,official-docs,5,5,"[ST1]"
S06,S06_mcp-onboarding-friction-hanzilla.md,blog,4,5,"[ST1]"
S07,S07_mcp-reliability-stress-test.md,industry-media,4,5,"[ST1]"
S08,S08_mcp-adoption-tactics-agnost.md,blog,3,5,"[ST1]"
S09,S09_mcp-hype-reality-glama.md,registry,4,5,"[ST1]"
S10,S10_mcp-adoption-stats-2026.md,industry-media,4,5,"[ST1]"
S11,S11_devops-mcp-servers-lens.md,industry-media,3,5,"[ST1]"
S12,S12_github-mcp-readme-pattern.md,github-code,5,5,"[ST1]"
S13,S13_awesome-mcp-servers-format.md,github-code,5,5,"[ST1]"
S14,S14_mikromcp-competitor-analysis.md,github-code,5,5,"[ST1]"
S15,S15_mcp-discovery-channels-automationswitch.md,industry-media,3,5,"[ST1]"
S20,S20_mcp-spec-tools-official.md,official-docs,5,5,"[ST2]"
S21,S21_anthropic-define-tools-best-practices.md,official-docs,5,5,"[ST2]"
S22,S22_anthropic-engineering-writing-tools-for-agents.md,official-docs,5,5,"[ST2]"
S23,S23_hn-bad-mcp-design-5x-tokens.md,forum-discussion,3,5,"[ST2]"
S24,S24_mcp-spec-sep986-tool-names.md,official-docs,5,5,"[ST2]"
S25,S25_mcp-blog-tool-annotations-risk-vocabulary.md,official-docs,5,5,"[ST2]"
S26,S26_anthropic-handle-tool-calls.md,official-docs,5,5,"[ST2]"
S27,S27_mcp-ref-filesystem-server-patterns.md,github-code,5,5,"[ST2]"
S28,S28_mcp-design-principles.md,official-docs,5,5,"[ST2]"
S29,S29_mcp-tool-annotations-ig-charter.md,official-docs,4,5,"[ST2]"
S40,S40_globalping_mcp.md,github-code,5,5,"[ST3]"
S41,S41_labeveryday_network_mcp.md,github-code,4,4,"[ST3]"
S42,S42_probeops_mcp.md,github-code,4,5,"[ST3]"
S43,S43_juniper_junos_mcp.md,github-code,5,5,"[ST3]"
S44,S44_mikromcp.md,github-code,4,5,"[ST3]"
S45,S45_mikrotik_mcp_jeff.md,github-code,4,5,"[ST3]"
S46,S46_unifi_mcp_server.md,github-code,5,5,"[ST3]"
S47,S47_opnsense_mcp.md,github-code,4,5,"[ST3]"
S48,S48_netbox_mcp.md,github-code,5,5,"[ST3]"
S49,S49_kubernetes_mcp.md,github-code,5,5,"[ST3]"
S50,S50_whisper_graph_mcp.md,github-code,4,5,"[ST3]"
S51,S51_network_mcp_servers_list.md,github-code,4,5,"[ST3]"
S52,S52_cisco_network_mcp.md,github-code,3,5,"[ST3]"
S53,S53_docker_mcp_smежный.md,github-code,4,4,"[ST3]"
S54,S54_pulsemcp_network_category.md,registry,5,5,"[ST3]"
S55,S55_globalping_vs_local_context.md,industry-media,5,5,"[ST3]"
S60,S60_mcp-spec-transports-2025.md,official-docs,5,5,"[ST4]"
S61,S61_mcp-architecture-local-vs-remote.md,official-docs,5,5,"[ST4]"
S62,S62_anthropic-mcpb-dxt-spec.md,official-docs,5,5,"[ST4]"
S63,S63_claude-code-mcp-config.md,official-docs,5,5,"[ST4]"
S64,S64_vscode-mcp-config.md,official-docs,5,5,"[ST4]"
S65,S65_mcp-spec-old-sse-transport.md,official-docs,5,3,"[ST4]"
S66,S66_manufact-mcp-dx-analysis.md,industry-media,4,5,"[ST4]"
S67,S67_mcp-mcpb-manifest-user-config.md,github-code,5,5,"[ST4]"
S68,S68_mcp-inspector-dx-tool.md,official-docs,5,5,"[ST4]"
S69,S69_mcp-reference-servers-packaging.md,github-code,5,5,"[ST4]"
S80,S80_hn-mcp-context-bloat-token-overhead.md,forum-discussion,4,5,"[opposition]"
S81,S81_hn-mcp-vs-cli-bash-debate.md,forum-discussion,5,5,"[opposition]"
S82,S82_hn-bad-mcp-design-5x-tokens.md,forum-discussion,5,5,"[opposition]"
S83,S83_hn-mcp-prompt-injection-service.md,forum-discussion,4,5,"[opposition]"
S84,S84_hn-mcp-agent-214-attacks.md,forum-discussion,5,4,"[opposition]"
S85,S85_hn-mcp-registry-440x-token-variance.md,forum-discussion,5,5,"[opposition]"
S86,S86_github-safe-mcp-attack-taxonomy.md,github-code,5,4,"[opposition]"
S87,S87_github-verification-competitor-repos.md,github-code,5,5,"[verification]"
S88,S88_github-verification-starred-repos.md,github-code,5,5,"[verification]"
S89,S89_hn-mcp-enterprise-real-usage.md,forum-discussion,5,5,"[opposition]"
